,Proportion of non-white character mentions,Proportion of non-white character dialogue,Burstiness of most frequent character,Min burstiness non-white character,Min burstiness white character,Dataset,Author race,Most frequent character race,Most frequent character gender,Most frequent character POV,Hollyhock recurrence,AP recurrence,Different main character race in book,Book
137,0.0,,0.45953328867131854,inf,0.3697291348128467,AP Only,White,White*,M,First person,0,1,False,old school - wolff
138,0.07429871114480667,0.09579667644183773,0.5204210445557725,0.7635309058297846,0.4547241149907818,Both,White,White*,M,Third person,15,1,True,of mice and men - steinbeck
139,1.0,1.0,0.3252754451702423,0.3252754451702423,inf,Teachers Only,Non-white,Black,M,First person,2,0,False,of beetles and angels - asgedom
140,0.0,0.0,0.6967858209313592,inf,0.6773385607307537,AP Only,White,White*,M,Third person,0,1,False,octopus - norris
141,1.0,1.0,0.29109946216835525,0.29109946216835525,inf,AP Only,Non-white,AAPI,F,First person,0,6,False,obasan - kogawa
142,0.0,0.0,0.5571173804612076,inf,0.5571173804612076,AP Only,White,White*,F,Third person,0,1,False,o pioneers - cather
143,0.0,0.0,0.3698588980979554,inf,0.3698588980979554,AP Only,White,White*,F,Third person,0,1,False,northanger abbey - austen
144,0.0,0.0,0.23153800711494307,inf,0.23153800711494307,AP Only,White,White*,M,Third person,0,1,False,noah s compass - tyler
145,1.0,1.0,0.47099094902749,0.47099094902749,inf,Teachers Only,Non-white,Black,F,First person,1,0,False,no disrespect - souljah
146,0.0,0.0,0.5358165762132436,inf,0.5358165762132436,AP Only,White,White*,M,First person,0,2,False,no country for old men - mccarthy
147,1.0,1.0,0.25244491420298176,0.25244491420298176,inf,Teachers Only,Non-white,Black,M,First person,1,0,False,no ashes in the fire - moore
148,0.0,0.0,0.6614444071365495,inf,0.6185147291648193,Both,White,White*,M,Third person,13,3,False,nineteen eighty four - orwell
149,0.0,0.0,0.39748077996673026,inf,0.39748077996673026,Both,White,White*,M,First person,29,1,False,night - wiesel
150,1.0,1.0,0.23285302700711566,0.23285302700711566,inf,Teachers Only,Non-white,Black,M,First person,1,0,False,nigger - gregory
151,0.0,0.0,0.29472971056225566,inf,0.29472971056225566,AP Only,Non-white,White*,F,First person,0,4,False,never let me go - ishiguro
152,1.0,1.0,0.3578014251490548,0.3578014251490548,inf,AP Only,Non-white,Black,F,First person,0,1,False,nervous conditions - dangarembga
153,0.781403870376732,0.5756186984417965,0.28836760357034097,0.28836760357034097,0.7148333957811074,AP Only,Non-white,AAPI,M,First person,0,5,True,native speaker - lee
